resultado de la busqueda de todos movientos del CLIENTE FARMACIA DEL OESTE
CLIENTE,CODIGO,PRODUCTO,CANTIDAD,PRECIO
FARMACIA DEL OESTE,037517220,RUBIDOX CM 50,1.00,372.740
FARMACIA DEL OESTE,037517220,RUBIDOX CM 50,1.00,372.740
FARMACIA DEL OESTE,031676210,ZOFRAN 8 IY 1,1.00,66.200
FARMACIA DEL OESTE,035593410,LEUCOMAX 300 IY 1,2.00,263.190
FARMACIA DEL OESTE,036430710,VINCRISTINA FILAXIS 1 IY 1,2.00,10.230
FARMACIA DEL OESTE,003167700,DOXOCRIS 10 FRA1,4.00,31.110
FARMACIA DEL OESTE,003636720,DOXOCRIS 50 FRA1,1.00,129.180
FARMACIA DEL OESTE,033335210,ASOTERON CM 50,1.00,361.430
FARMACIA DEL OESTE,003636720,DOXOCRIS 50 FRA1,2.00,129.180
FARMACIA DEL OESTE,036430710,VINCRISTINA FILAXIS 1 IY 1,2.00,10.230
FARMACIA DEL OESTE,040018530,NEUTROMAX 300 FRA5,1.00,855.320
FARMACIA DEL OESTE,003636720,DOXOCRIS 50 FRA1,2.00,129.180
FARMACIA DEL OESTE,036430710,VINCRISTINA FILAXIS 1 IY 1,2.00,10.230
FARMACIA DEL OESTE,040018530,NEUTROMAX 300 FRA5,1.00,855.320
FARMACIA DEL OESTE,033335210,ASOTERON CM 50,1.00,361.430
FARMACIA DEL OESTE,031676210,ZOFRAN 8 IY 1,1.00,66.200
FARMACIA DEL OESTE,035593410,LEUCOMAX 300 IY 1,2.00,263.190
FARMACIA DEL OESTE,036430710,VINCRISTINA FILAXIS 1 IY 1,2.00,10.230
FARMACIA DEL OESTE,003167700,DOXOCRIS 10 FRA1,4.00,31.110
FARMACIA DEL OESTE,003636720,DOXOCRIS 50 FRA1,1.00,129.180
FARMACIA DEL OESTE,VINC0001,VINCRISTINA,2.00,10.110
FARMACIA DEL OESTE,003636720,DOXOCRIS 50 FRA1,2.00,129.180
FARMACIA DEL OESTE,031676210,ZOFRAN 8 IY 1,1.00,66.200
FARMACIA DEL OESTE,VINC0001,VINCRISTINA,2.00,10.110
FARMACIA DEL OESTE,003636720,DOXOCRIS 50 FRA1,2.00,129.180
FARMACIA DEL OESTE,031676210,ZOFRAN 8 IY 1,1.00,66.200
