Listado de productos que mas cantidades compraron ordenados de mayor a menor
Producto,Codigo,Cantidad
ONDANSETRON MARTIAN 8 AA 1,034328610,547.0
UVASAL SO 25,600065570,500.0
EPREX 2000 FRA1,030892520,392.0
BAYA 10 X 10,600041820,380.0
DIEMON 20 CM 30,031331220,330.0
HEMAX 4000 IY 1,031020110,319.0
ALIKAL SO 25,600067260,300.0
CAFIA CM 100,001192420,280.0
RONTAFOR 50 IY 1,033426910,271.0
ZOFRAN 8 IY 1,031676210,258.0
ZEROPENEM 500 IV FRA1,040241210,250.0
ASPIRINETAS CM 100,001146120,250.0
HHT 4 UI x 1 AMP,HHT0001,240.0
ENSURE VAIN C/FIBRA LT 237,035795610,240.0
TAMOXIFENO GADOR 20 CM 30,027196640,235.0
BUSCAPINA CTO N CM 50,030358720,201.0
MIGRAL 500 CM 50,030324820,200.0
HOLOXAN 1 FRA1,043698210,192.0
CICLOFOSFAMIDA FILAXIS 1000 IY 1,036782210,191.0
INMUTAG 9 MUI x 1,INMU0001,182.0
IBU EVANOL R A CP 20,600231120,150.0
CARBOPLATINO 150 MG,MONO000060001,148.0
ONCOFU 500 IY 5,030380010,147.0
CRISAFENO 20 CM 30,031394010,147.0
INTRON A HSA F 3 M FRA1,043435810,144.0
CAMPTOSAR 100 FRA5,042224610,144.0
3TC COMPLEX CM 60,044081810,135.0
ONDANSETRON 8 X 1,ONDAN0001,130.0
LUPRON DEPOT 7.5 KIT1,030712510,129.0
INF 3 MILL UI INY LIOF,INF,127.0
ETOCRIS 100 IY 1,031237210,122.0
NAVELBINE 50 IY 1,031567350,121.0
ARA-C 100 IY 1,033868310,118.0
ASOTAX 30 AA 1,037925710,117.0
VIRAMUNE CM 100,041966510,114.0
RONTAFOR 15 CM 10,039833010,114.0
DOXOCRIS 50 FRA1,003636720,112.0
STAMAR 40 CP 60,042148810,109.0
GEMTRO 1 FRA1,040607610,108.0
3TC 150 CM 60,041084510,104.0
ESTROQUIN 15 CM 10,040193510,103.0
EUMETIC IY 1,035528110,101.0
UVASAL LIMON SO 25,600148200,100.0
UVASAL NARA SO 25,600079470,100.0
ALIKAL LIMON SO 25,600171601,100.0
VINCRISTINA FILAXIS 1 IY 1,036430710,93.0
LEUCOCALCIN 50 FRA1,421206100,93.0
DOXORUBICINA 50,DOXO 500001,91.0
DACARBAZINA FILAXIS 100 FRA1,036666810,90.0
TAXFENO 20 CM 30,031307320,89.0
CIPROTERONA LABINCA 50 CM 50,033563910,88.0
CLITAXEL 30 AA 1,037520510,88.0
MESTIAN 200 AA 10,044776030,87.0
ANDROCUR 50 CM 50,029259010,84.0
METOTREXATO MARTIAN 50 FRA1,031453410,84.0
ENDOBULIN HT 5000 FRA100,026453150,84.0
VIRACEPT 250 CM 270,043258410,82.0
GYNO EMPECID 3 CMV3,027105710,80.0
CELLCEPT 500 CP 50,042494510,78.0
HEMAX 2000 IY 1,031019410,78.0
CISPLATINO 10,CISP0001,72.0
HEMAX 10000 IY 1,037215210,72.0
CIPROTERONA,CIPROT0001,71.0
DOXOCRIS 10 FRA1,003167700,71.0
HEMAX 10000 UI,HEMAX0001,68.0
ASIOLEX CM 30,042758530,67.0
FLUOROURACILO FILAXIS 500 AA 5,040763610,67.0
BLEOCRIS 15 FRA1,038962810,66.0
KYTRIL IY 1,036499310,64.0
ETOPOSIDO DELTA FARMA 100 AA 1,044087610,62.0
IFOCRIS 1 FRA1,039321510,61.0
RUBIDOX CM 50,037517220,61.0
TAXOCRIS 30 AA 1,040791710,61.0
KAS 1000 TARRO X 400 GR,002506,61.0
TAMOXIFENO 20 X 30,TAMOX. 20 X 300001,60.0
BIOFERON 5 M IY 1,032038310,60.0
SOL RX DEXTROSA 5 AGUA 500,600025070,60.0
ONCOCARBIL 200 FRA1,040640610,60.0
ENSURE PLUS LATA x 237 ML,001141800,60.0
KESS 150 CM 60,045008110,59.0
CICLOFOSFAMIDA 1 GR,CICLO0001,58.0
VINCRISTINA MARTIAN FRA1,041348510,58.0
ROFERON A 3/0.5 C/JER 1,041584510,58.0
EPIDOXO 50 FRA1,039839810,56.0
CETRON 4 AA 1,034628010,56.0
ARA-C 1 IY 1,033870810,56.0
NEUPOGEN 30 M FRA5,031999820,55.0
TAXOTERE 80 FRA1,040760210,54.0
ONCOTAXINA 20 IY 1,030276110,54.0
FLUOROURACILO MARTIAN 500 AA 4,039890020,53.0
NEUTROMAX 300 FRA5,040018530,53.0
FRAXIPARINE 0.6 IY 10,030582230,52.0
DOCETAXEL 20,DOCE0001,51.0
CITODOX 100 AA 1,030700010,51.0
ASOTERON CM 50,033335210,50.0
UTROGESTAN 100 CP 30,033933410,50.0
REBIF 3000000 FRA1,038444610,46.0
CREON CP 100,003549230,46.0
DACPLAT 50 IY 1,042109010,46.0
ENDOBULIN HT 10000 FRA200,034875710,46.0
SANDIMMUN 50 NEORAL CM 50,034439120,45.0
ONCOCARBIL 100 FRA1,040639910,45.0
BUTIOL 1.5 CM 20,028674110,44.0
LEDERFOLIN CM 10,031998010,42.0
DACPLAT 100 IY 1,042110710,42.0
DIDANOSINA RICHMOND 100 MG X 60 COMP,DIDANOSINA,42.0
NAVELBINE 10 IY 1,031567310,42.0
VARIMER 50 X 25,VARIMER0001,40.0
CISPLATINO MARTIAN 50 FRA1,003139740,40.0
RUBIFARM 50 MG,RUBI,40.0
VINCRISTINA,VINC0001,40.0
PLATINO FILAXIS 50 LIOF IY 1,035275810,40.0
BUSCAPINA CTO CM 50,036174130,40.0
PROGRAF 1 CP 100,041644720,39.0
CITARABINA FILAXIS 100 IY 1,034788210,38.0
ENDOXAN 1 FRA1,004453720,37.0
KESS COMPLEX COMP X 60,KESS0001,37.0
MITOMICINA MARTIAN 20 FRA1,037203710,37.0
CORTIPYREN B 40 CM 20,007055820,36.0
IMURAN 50 CM 100,017040710,34.0
DECADRON 4 IY 2,006745620,34.0
ROFERON A 9/0.5 C/JER 1,041586110,34.0
MITOMICINA LABINCA 20 FRA1,039384310,33.0
FLAVICINA LIOF 50 IY 1,033191810,33.0
DECAPEPTYL RT IY 1,037668310,33.0
CETRON 8 CM 10,034627220,33.0
SANDIMMUN 100 NEORAL SL 50,029520510,32.0
NEUPOGEN 30 M JER PRELL FRA1,041452410,31.0
LUPRON DEPOT 3.75 KIT1,031200910,30.0
MESNA FILAXIS 200 AA 10,036597510,30.0
MITOMICINA MARTIAN 5 FRA1,003226440,30.0
