resultado de la busqueda de todos movientos del PRODUCTO ONDANSETRON 8 X 1
CLIENTE,CODIGO,PRODUCTO,CANTIDAD,PRECIO
MEDICINA PRIVADA,ONDAN0001,ONDANSETRON 8 X 1,2.00,7.000
MEDICINA PRIVADA,ONDAN0001,ONDANSETRON 8 X 1,2.00,7.000
O.S. PERSONAL DE MAESTRANZA,ONDAN0001,ONDANSETRON 8 X 1,10.00,31.160
O.S. PERSONAL DE MAESTRANZA,ONDAN0001,ONDANSETRON 8 X 1,10.00,31.160
O.S.D.I.C.,ONDAN0001,ONDANSETRON 8 X 1,1.00,31.160
PROTECTIO S.A.,ONDAN0001,ONDANSETRON 8 X 1,3.00,7.000
PROTECTIO S.A.,ONDAN0001,ONDANSETRON 8 X 1,3.00,7.000
MEDICINA PRIVADA,ONDAN0001,ONDANSETRON 8 X 1,3.00,7.000
MEDICINA PRIVADA,ONDAN0001,ONDANSETRON 8 X 1,3.00,7.000
MEDICINA PRIVADA,ONDAN0001,ONDANSETRON 8 X 1,2.00,7.000
MEDICINA PRIVADA,ONDAN0001,ONDANSETRON 8 X 1,2.00,7.000
MEDICINA PRIVADA,ONDAN0001,ONDANSETRON 8 X 1,1.00,7.000
MEDICINA PRIVADA,ONDAN0001,ONDANSETRON 8 X 1,1.00,7.000
MEDICINA PRIVADA,ONDAN0001,ONDANSETRON 8 X 1,3.00,7.000
MEDICINA PRIVADA,ONDAN0001,ONDANSETRON 8 X 1,3.00,7.000
MEDICINA PRIVADA,ONDAN0001,ONDANSETRON 8 X 1,2.00,7.000
MEDICINA PRIVADA,ONDAN0001,ONDANSETRON 8 X 1,2.00,7.000
MEDICINA PRIVADA,ONDAN0001,ONDANSETRON 8 X 1,2.00,7.000
MEDICINA PRIVADA,ONDAN0001,ONDANSETRON 8 X 1,2.00,7.000
MEDICINA PRIVADA,ONDAN0001,ONDANSETRON 8 X 1,2.00,7.000
MEDICINA PRIVADA,ONDAN0001,ONDANSETRON 8 X 1,2.00,7.000
PROTECTIO S.A.,ONDAN0001,ONDANSETRON 8 X 1,2.00,7.000
PROTECTIO S.A.,ONDAN0001,ONDANSETRON 8 X 1,2.00,7.000
PROTECTIO S.A.,ONDAN0001,ONDANSETRON 8 X 1,2.00,7.000
PROTECTIO S.A.,ONDAN0001,ONDANSETRON 8 X 1,3.00,7.000
PROTECTIO S.A.,ONDAN0001,ONDANSETRON 8 X 1,3.00,7.000
PROTECTIO S.A.,ONDAN0001,ONDANSETRON 8 X 1,3.00,7.000
PROTECTIO S.A.,ONDAN0001,ONDANSETRON 8 X 1,5.00,7.000
PROTECTIO S.A.,ONDAN0001,ONDANSETRON 8 X 1,5.00,7.000
PROTECTIO S.A.,ONDAN0001,ONDANSETRON 8 X 1,3.00,7.000
PROTECTIO S.A.,ONDAN0001,ONDANSETRON 8 X 1,3.00,7.000
PROTECTIO S.A.,ONDAN0001,ONDANSETRON 8 X 1,3.00,7.000
PROTECTIO S.A.,ONDAN0001,ONDANSETRON 8 X 1,3.00,7.000
PROTECTIO S.A.,ONDAN0001,ONDANSETRON 8 X 1,2.00,7.000
PROTECTIO S.A.,ONDAN0001,ONDANSETRON 8 X 1,2.00,7.000
PROTECTIO S.A.,ONDAN0001,ONDANSETRON 8 X 1,2.00,7.000
PROTECTIO S.A.,ONDAN0001,ONDANSETRON 8 X 1,1.00,7.000
PROTECTIO S.A.,ONDAN0001,ONDANSETRON 8 X 1,1.00,7.000
MEDICINA PRIVADA,ONDAN0001,ONDANSETRON 8 X 1,3.00,7.000
MEDICINA PRIVADA,ONDAN0001,ONDANSETRON 8 X 1,3.00,7.000
MEDICINA PRIVADA,ONDAN0001,ONDANSETRON 8 X 1,1.00,7.000
MEDICINA PRIVADA,ONDAN0001,ONDANSETRON 8 X 1,1.00,7.000
MEDICINA PRIVADA,ONDAN0001,ONDANSETRON 8 X 1,1.00,7.000
MEDICINA PRIVADA,ONDAN0001,ONDANSETRON 8 X 1,1.00,7.000
MEDITAR,ONDAN0001,ONDANSETRON 8 X 1,2.00,31.160
MEDITAR,ONDAN0001,ONDANSETRON 8 X 1,2.00,31.160
MEDICINA PRIVADA,ONDAN0001,ONDANSETRON 8 X 1,3.00,7.000
MEDICINA PRIVADA,ONDAN0001,ONDANSETRON 8 X 1,3.00,7.000
PANMEDICA,ONDAN0001,ONDANSETRON 8 X 1,2.00,15.000
PANMEDICA,ONDAN0001,ONDANSETRON 8 X 1,2.00,15.000
